                           Z                           N                  exp_values               uncertainties                c_parameters                       error
                           9                          22     -0.1870202450000000E+03      0.5580000000000001E+00     -0.2387963837792035E+03      0.3768247092184447E-06
                          10                           5     -0.7302737600000000E+02      0.6669000000000000E-01     -0.1066351910158857E+03      0.2352335354756817E-06
                          10                           6     -0.9732728800000000E+02      0.2048000000000000E-01     -0.1173016381326657E+03      0.2645641263328766E-06
                          10                           7     -0.1128849390000000E+03      0.3570000000000000E-03     -0.1339271851648719E+03      0.2087298234512148E-06
                          10                           8     -0.1321390820000000E+03      0.3600000000000000E-03     -0.1445936322816519E+03      0.2325859001567868E-06
                          10                           9     -0.1437759730000000E+03      0.1520000000000000E-03     -0.1539561025903341E+03      0.2026012761840845E-06
                          10                          10     -0.1606412560000000E+03      0.1000000000000000E-05     -0.1646225497071141E+03      0.2255136479537829E-06
                          10                          11     -0.1674024290000000E+03      0.4200000000000000E-04     -0.1739850200157963E+03      0.1968989288187868E-06
                          10                          12     -0.1777666860000000E+03      0.2200000000000000E-04     -0.1846514671325763E+03      0.2187678747444978E-06
                          10                          13     -0.1829673440000000E+03      0.1150000000000000E-03     -0.1940139374412585E+03      0.1916608263930669E-06
                          10                          14     -0.1918362560000000E+03      0.5040000000000000E-03     -0.2046803845580385E+03      0.2123796924664586E-06
                          10                          15     -0.1959914310000000E+03      0.2905000000000000E-01     -0.2067797781431966E+03      0.2025660574825566E-06
                          10                          16     -0.2015461160000000E+03      0.1843400000000000E-01     -0.2174462252599767E+03      0.2282492083558970E-06
                          10                          17     -0.2030476340000000E+03      0.9077399999999999E-01     -0.2268086955686588E+03      0.1972332765172219E-06
                          10                          18     -0.2068701440000000E+03      0.1260560000000000E+00     -0.2302120659619149E+03      0.2590084800256551E-06
                          10                          19     -0.2078413990000000E+03      0.1494950000000000E+00     -0.2395745362705970E+03      0.2255121399750254E-06
                          10                          20     -0.2110323860000000E+03      0.2532600000000000E+00     -0.2429779066638531E+03      0.3001136594733186E-06
                          10                          21     -0.2112022460000000E+03      0.2661970000000000E+00     -0.2523403769725353E+03      0.2660932345131539E-06
                          10                          22     -0.2134684560000000E+03      0.5120000000000000E+00     -0.2557437473657913E+03      0.3479168704545586E-06
                          10                          23     -0.2125164560000000E+03      0.5940000000000000E+00     -0.2578431409509494E+03      0.3717267698149299E-06
                          10                          24     -0.2137544560000000E+03      0.5100000000000000E+00     -0.2685095880677295E+03      0.4000240157271579E-06
                          11                           6     -0.9342890900000000E+02      0.1001351000000000E+01     -0.1255728192705521E+03      0.2287529434981305E-06
                          11                           7     -0.1116354550000000E+03      0.9388800000000000E-01     -0.1421983663027582E+03      0.2911114286722441E-06
                          11                           8     -0.1318153640000000E+03      0.1052600000000000E-01     -0.1528648134195383E+03      0.2034074878458252E-06
                          11                           9     -0.1459654690000000E+03      0.1120000000000000E-02     -0.1622272837282204E+03      0.2883472384079745E-06
                          11                          10     -0.1630720360000000E+03      0.1050000000000000E-03     -0.1728937308450004E+03      0.1976206938908354E-06
                          11                          11     -0.1741402230000000E+03      0.1760000000000000E-03     -0.1822562011536826E+03      0.2859810641223245E-06
                          11                          12     -0.1865598880000000E+03      0.1000000000000000E-05     -0.1929226482704626E+03      0.1922915607642796E-06
                          11                          13     -0.1935192610000000E+03      0.2400000000000000E-04     -0.2022851185791448E+03      0.2840228535183226E-06
                          11                          14     -0.2025304740000000E+03      0.1200000000000000E-02     -0.2129515656959248E+03      0.1874591240072131E-06
                          11                          15     -0.2081047750000000E+03      0.3510000000000000E-02     -0.2223140360046070E+03      0.2824810909600246E-06
                          11                          16     -0.2148330910000000E+03      0.3726000000000000E-02     -0.2329804831213870E+03      0.1831627013096891E-06
                          11                          17     -0.2183749410000000E+03      0.1024800000000000E-01     -0.2350798767065452E+03      0.2839872983267165E-06
                          11                          18     -0.2227779280000000E+03      0.7337000000000000E-02     -0.2457463238233252E+03      0.1926012099769813E-06
                          11                          19     -0.2250545890000000E+03      0.4740000000000000E-02     -0.2478457174084834E+03      0.2991607072110400E-06
                          11                          20     -0.2293545360000000E+03      0.1398100000000000E-01     -0.2585121645252634E+03      0.2205379815027163E-06
                          11                          21     -0.2310317410000000E+03      0.3724800000000000E-01     -0.2606115581104216E+03      0.3260990587755076E-06
                          11                          22     -0.2339631070000000E+03      0.4499220000000000E+00     -0.2712780052272016E+03      0.2611013227717315E-06
                          11                          23     -0.2341344070000000E+03      0.5994200000000000E+00     -0.2733773988123597E+03      0.3621866753439373E-06
                          11                          24     -0.2356505490000000E+03      0.6650000000000000E+00     -0.2840438459291398E+03      0.3093637413921737E-06
                          11                          25     -0.2356515490000000E+03      0.6840000000000001E+00     -0.2861432395142980E+03      0.4049850660534012E-06
                          11                          26     -0.2364995490000000E+03      0.7030000000000000E+00     -0.2895466099075540E+03      0.4223561181572566E-06
                          12                           7     -0.1121329940000000E+03      0.5000800000000000E-01     -0.1444013186081389E+03      0.2225313775298906E-06
                          12                           8     -0.1345550190000000E+03      0.1860000000000000E-02     -0.1623308424484429E+03      0.2278396858063925E-06
                          12                           9     -0.1492001700000000E+03      0.7560000000000001E-03     -0.1716933127571251E+03      0.1984417237128318E-06
                          12                          10     -0.1685752610000000E+03      0.3080000000000000E-03     -0.1823597598739051E+03      0.2209626329284539E-06
                          12                          11     -0.1817201640000000E+03      0.1610000000000000E-03     -0.1917222301825873E+03      0.1930139555299693E-06
                          12                          12     -0.1982515350000000E+03      0.2400000000000000E-04     -0.2023886772993673E+03      0.2144313900018263E-06
                          12                          13     -0.2055820690000000E+03      0.5000000000000000E-04     -0.2117511476080494E+03      0.1880755951569786E-06
                          12                          14     -0.2166751390000000E+03      0.2600000000000000E-04     -0.2224175947248295E+03      0.2082784915219947E-06
                          12                          15     -0.2231185230000000E+03      0.5400000000000000E-04     -0.2317800650335116E+03      0.1836661239943287E-06
                          12                          16     -0.2316220830000000E+03      0.1988000000000000E-02     -0.2424465121502917E+03      0.2025384215114791E-06
                          12                          17     -0.2352773770000000E+03      0.1139700000000000E-01     -0.2518089824589738E+03      0.1798244528913411E-06
                          12                          18     -0.2416296990000000E+03      0.3450000000000000E-02     -0.2552123528522299E+03      0.2172120199336274E-06
                          12                          19     -0.2439393470000000E+03      0.3069000000000000E-02     -0.2645748231609120E+03      0.1883166258545570E-06
                          12                          20     -0.2497173990000000E+03      0.3264000000000000E-02     -0.2679781935541681E+03      0.2476599186103634E-06
                          12                          21     -0.2519975340000000E+03      0.2904000000000000E-02     -0.2773406638628502E+03      0.2158346440124489E-06
                          12                          22     -0.2567077790000000E+03      0.2886600000000000E-01     -0.2880071109796302E+03      0.2419526634171729E-06
                          12                          23     -0.2574626740000000E+03      0.2696750000000000E+00     -0.2901065045647885E+03      0.2563223747663793E-06
                          12                          24     -0.2607936030000000E+03      0.6902280000000000E+00     -0.2935098749580445E+03      0.3370898329117378E-06
                          12                          25     -0.2610336260000000E+03      0.6989300000000001E+00     -0.3028723452667266E+03      0.3046520151302665E-06
                          12                          26     -0.2632585190000000E+03      0.4940000000000000E+00     -0.3062757156599827E+03      0.3895757974212328E-06
                          12                          27     -0.2631275190000000E+03      0.5070000000000000E+00     -0.3156381859686648E+03      0.3576585873527272E-06
                          12                          28     -0.2651145190000000E+03      0.5200000000000000E+00     -0.3190415563619209E+03      0.4448642182593201E-06
