                           x                ground state                 1st excited                 2nd excited
     -0.2155388471177947E+01      0.3354344144997541E-01      0.1445935246218583E+00      0.5825355815267583E-01
     -0.2055137844611529E+01      0.4340952788395015E-01      0.1713437630661665E+00      0.5605160396681107E-01
     -0.1954887218045116E+01      0.5550989680555683E-01      0.2002194012399967E+00      0.5274454269011464E-01
     -0.1854636591478698E+01      0.6994604321235789E-01      0.2298773209758692E+00      0.4816576091555927E-01
     -0.1754385964912281E+01      0.8666785070739670E-01      0.2585173594527159E+00      0.4230344302466751E-01
     -0.1654135338345867E+01      0.1054807419803166E+00      0.2841151709497110E+00      0.3535346182046303E-01
     -0.1553884711779450E+01      0.1260786866584192E+00      0.3047011754462565E+00      0.2772037132718581E-01
     -0.1453634085213032E+01      0.1480842293047473E+00      0.3186008753709525E+00      0.1996941163956104E-01
     -0.1353383458646618E+01      0.1710822720964504E+00      0.3245989296150511E+00      0.1274881368453979E-01
     -0.1253132832080201E+01      0.1946436200125458E+00      0.3220284011927388E+00      0.6702825860238026E-02
     -0.1152882205513784E+01      0.2183398216751683E+00      0.3108009589026550E+00      0.2390195280754008E-02
     -0.1052631578947370E+01      0.2417523219197093E+00      0.2913931567378125E+00      0.2172219119260579E-03
     -0.9523809523809526E+00      0.2644784770861558E+00      0.2647993423470389E+00      0.3907513071340980E-03
     -0.8521303258145387E+00      0.2861360762219338E+00      0.2324582056404791E+00      0.2894003081469844E-02
     -0.7518796992481214E+00      0.3063672546169419E+00      0.1961583350109848E+00      0.7486160436374039E-02
     -0.6516290726817040E+00      0.3248421914311162E+00      0.1579278633091506E+00      0.1372477667032908E-01
     -0.5513784461152902E+00      0.3412627010309589E+00      0.1199136632789927E+00      0.2100822936715666E-01
     -0.4511278195488728E+00      0.3553656847222684E+00      0.8425608311339118E-01      0.2863378647131949E-01
     -0.3508771929824590E+00      0.3669263484316675E+00      0.5296559018300648E-01      0.3586551001971621E-01
     -0.2506265664160416E+00      0.3757610752088384E+00      0.2780775526129277E-01      0.4200536938783314E-01
     -0.1503759398496243E+00      0.3817298470718121E+00      0.1020269720949329E-01      0.4646067521455420E-01
     -0.5012531328321046E-01      0.3847381264049381E+00      0.1144416918137522E-02      0.4880132243424232E-01
      0.5012531328320691E-01      0.3847381264049297E+00      0.1144416918142927E-02      0.4880132243425254E-01
      0.1503759398496243E+00      0.3817298470717850E+00      0.1020269720950918E-01      0.4646067521458489E-01
      0.2506265664160381E+00      0.3757610752087962E+00      0.2780775526131834E-01      0.4200536938788080E-01
      0.3508771929824555E+00      0.3669263484316134E+00      0.5296559018304162E-01      0.3586551001977669E-01
      0.4511278195488728E+00      0.3553656847221984E+00      0.8425608311343427E-01      0.2863378647138586E-01
      0.5513784461152866E+00      0.3412627010308787E+00      0.1199136632790414E+00      0.2100822936722239E-01
      0.6516290726817040E+00      0.3248421914310274E+00      0.1579278633092048E+00      0.1372477667038858E-01
      0.7518796992481178E+00      0.3063672546168502E+00      0.1961583350110458E+00      0.7486160436421855E-02
      0.8521303258145352E+00      0.2861360762218371E+00      0.2324582056405424E+00      0.2894003081501304E-02
      0.9523809523809526E+00      0.2644784770860614E+00      0.2647993423471032E+00      0.3907513071459774E-03
      0.1052631578947366E+01      0.2417523219196166E+00      0.2913931567378799E+00      0.2172219119171330E-03
      0.1152882205513784E+01      0.2183398216750816E+00      0.3108009589027256E+00      0.2390195280724578E-02
      0.1253132832080198E+01      0.1946436200124684E+00      0.3220284011928111E+00      0.6702825860190374E-02
      0.1353383458646615E+01      0.1710822720963789E+00      0.3245989296151219E+00      0.1274881368447807E-01
      0.1453634085213032E+01      0.1480842293046849E+00      0.3186008753710187E+00      0.1996941163949042E-01
      0.1553884711779446E+01      0.1260786866583659E+00      0.3047011754463203E+00      0.2772037132711292E-01
      0.1654135338345863E+01      0.1054807419802718E+00      0.2841151709497709E+00      0.3535346182039342E-01
      0.1754385964912281E+01      0.8666785070736041E-01      0.2585173594527697E+00      0.4230344302460727E-01
      0.1854636591478695E+01      0.6994604321232842E-01      0.2298773209759155E+00      0.4816576091551372E-01
      0.1954887218045112E+01      0.5550989680553383E-01      0.2002194012400372E+00      0.5274454269008758E-01
      0.2055137844611529E+01      0.4340952788393272E-01      0.1713437630662020E+00      0.5605160396680445E-01
      0.2155388471177943E+01      0.3354344144996253E-01      0.1445935246218894E+00      0.5825355815269085E-01
      0.2255639097744361E+01      0.2568701491622163E-01      0.1207555992480952E+00      0.5959063643117059E-01
      0.2355889724310774E+01      0.1954561620955855E-01      0.1001145238768907E+00      0.6030385132128598E-01
      0.2456140350877192E+01      0.1480887602051790E-01      0.8259786566209845E-01      0.6059324638062807E-01
      0.2556390977443609E+01      0.1118888772741927E-01      0.6793169571527348E-01      0.6060636153558913E-01
      0.2656641604010023E+01      0.8438937946049959E-02      0.5575872733012261E-01      0.6044406429717695E-01
      0.2756892230576440E+01      0.6357894155935548E-02      0.4571059332423230E-01      0.6017206107790469E-01
      0.2857142857142854E+01      0.4786808045747124E-02      0.3744473789128360E-01      0.5983187742904472E-01
      0.2957393483709271E+01      0.3602463282854912E-02      0.3065934364285564E-01      0.5944927313682546E-01
      0.3057644110275689E+01      0.2710465633602146E-02      0.2509642730297346E-01      0.5904005146624664E-01
      0.3157894736842103E+01      0.2039021674329426E-02      0.2053932487454287E-01      0.5861384767921252E-01
      0.3258145363408520E+01      0.1533767252936565E-02      0.1680796088343771E-01      0.5817652030749591E-01
      0.3358395989974937E+01      0.1153646153076871E-02      0.1375359891184755E-01      0.5773163172281814E-01
      0.3458646616541351E+01      0.8677027128552609E-03      0.1125384648358340E-01      0.5728135435635035E-01
      0.3558897243107769E+01      0.6526198833060137E-03      0.9208216034139616E-02      0.5682702153819101E-01
      0.3659147869674186E+01      0.4908448079457934E-03      0.7534316877992104E-02      0.5636946091246257E-01
      0.3759398496240600E+01      0.3691686404669476E-03      0.6164651770163094E-02      0.5590919572713317E-01
      0.3859649122807017E+01      0.2776536607971678E-03      0.5043952243082700E-02      0.5544656616163647E-01
      0.3959899749373431E+01      0.2088241847726055E-03      0.4126976723195752E-02      0.5498180238237308E-01
      0.4060150375939848E+01      0.1570570557497875E-03      0.3376698204517113E-02      0.5451506850207856E-01
      0.4160401002506266E+01      0.1181227813518884E-03      0.2762816074129101E-02      0.5404648901850834E-01
      0.4260651629072679E+01      0.8884021643106083E-04      0.2260535845956986E-02      0.5357616470938191E-01
      0.4360902255639097E+01      0.6681675627134728E-04      0.1849569429661248E-02      0.5310418218488413E-01
      0.4461152882205511E+01      0.5025289314216533E-04      0.1513316501991217E-02      0.5263061962605606E-01
      0.4561403508771928E+01      0.3779520380940371E-04      0.1238194383611670E-02      0.5215555023002757E-01
      0.4661654135338345E+01      0.2842577257611318E-04      0.1013089585362310E-02      0.5167904427675592E-01
      0.4761904761904759E+01      0.2137902231627574E-04      0.8289089848277576E-03      0.5120117036721971E-01
      0.4862155388471177E+01      0.1607916126025927E-04      0.6782125602316544E-03      0.5072199616367727E-01
      0.4962406015037594E+01      0.1209313588858491E-04      0.5549128742309365E-03      0.5024158883071359E-01
      0.5062656641604008E+01      0.9095246425404102E-05      0.4540291822155966E-03      0.4976001529649464E-01
      0.5162907268170425E+01      0.6840533980419100E-05      0.3714862391844427E-03      0.4927734240601232E-01
      0.5263157894736842E+01      0.5144764941553354E-05      0.3039496813599440E-03      0.4879363700942888E-01
      0.5363408521303256E+01      0.3869377202630736E-05      0.2486913344132143E-03      0.4830896601143886E-01
      0.5463659147869674E+01      0.2910158206190788E-05      0.2034790082033293E-03      0.4782339639721522E-01
      0.5563909774436087E+01      0.2188729693127417E-05      0.1664863266521485E-03      0.4733699524427762E-01
      0.5664160401002505E+01      0.1646143380353787E-05      0.1362189504928918E-03      0.4684982972591047E-01
      0.5764411027568922E+01      0.1238064269093901E-05      0.1114542127241838E-03      0.4636196710949926E-01
      0.5864661654135336E+01      0.9311480107904085E-06      0.9119172836207451E-04      0.4587347475181137E-01
      0.5964912280701753E+01      0.7003163240704565E-06      0.7461298337000370E-04      0.4538442009243960E-01
      0.6065162907268167E+01      0.5267078359612085E-06      0.6104827035189001E-04      0.4489487064613222E-01
      0.6165413533834585E+01      0.3961369097274138E-06      0.4994963536418936E-04      0.4440489399446271E-01
      0.6265664160401002E+01      0.2979345294111132E-06      0.4086874302182532E-04      0.4391455777709258E-01
      0.6365914786967416E+01      0.2240765291862350E-06      0.3343876574822931E-04      0.4342392968278636E-01
      0.6466165413533833E+01      0.1685279347477226E-06      0.2735956557692813E-04      0.4293307744028280E-01
      0.6566416040100250E+01      0.1267498425345616E-06      0.2238556991572699E-04      0.4244206880907165E-01
      0.6666666666666664E+01      0.9532854364154110E-07      0.1831585150871734E-04      0.4195097157011577E-01
      0.6766917293233082E+01      0.7169658794994116E-07      0.1498601187065122E-04      0.4145985351654320E-01
      0.6867167919799499E+01      0.5392299648495837E-07      0.1226154032095812E-04      0.4096878244431218E-01
      0.6967418546365913E+01      0.4055548015730473E-07      0.1003238035175117E-04      0.4047782614287217E-01
      0.7067669172932330E+01      0.3050177249034674E-07      0.8208483835431587E-05      0.3998705238581345E-01
      0.7167919799498744E+01      0.2294037997955657E-07      0.6716173481676449E-05      0.3949652892151854E-01
      0.7268170426065161E+01      0.1725345744366304E-07      0.5495166603252952E-05      0.3900632346381401E-01
      0.7368421052631579E+01      0.1297632358434311E-07      0.4496139964201907E-05      0.3851650368262406E-01
      0.7468671679197993E+01      0.9759491644766424E-08      0.3678737340867615E-05      0.3802713719463077E-01
      0.7568922305764410E+01      0.7340112671137602E-08      0.3009939310349211E-05      0.3753829155393917E-01
      0.7669172932330824E+01      0.5520497991874746E-08      0.2462729412978639E-05      0.3705003424275564E-01
      0.7769423558897241E+01      0.4151965977226321E-08      0.2015002807757863E-05      0.3656243266206996E-01
      0.7869674185463658E+01      0.3122693188208891E-08      0.1648673335316518E-05      0.3607555412235176E-01
