                      Radius                ground state               first excited              second excited
      0.4145363408521300E+01     -0.4761720998924772E+02     -0.4061163465293163E+02     -0.2944231146602884E+02
      0.4165413533834583E+01     -0.4763760240845785E+02     -0.4069015185651161E+02     -0.2960661991789031E+02
      0.4185463659147866E+01     -0.4765773541507227E+02     -0.4076770929157515E+02     -0.2976909215142295E+02
      0.4205513784461148E+01     -0.4767761336383662E+02     -0.4084432207398111E+02     -0.2992975231703192E+02
      0.4225563909774431E+01     -0.4769724051919765E+02     -0.4092000503561006E+02     -0.3008862426998879E+02
      0.4245614035087714E+01     -0.4771662105749873E+02     -0.4099477273028215E+02     -0.3024573157029265E+02
      0.4265664160400997E+01     -0.4773575906913941E+02     -0.4106863943967062E+02     -0.3040109748294375E+02
      0.4285714285714279E+01     -0.4775465856067053E+02     -0.4114161917897449E+02     -0.3055474497842367E+02
      0.4305764411027562E+01     -0.4777332345682625E+02     -0.4121372570253573E+02     -0.3070669673353071E+02
      0.4325814536340845E+01     -0.4779175760250370E+02     -0.4128497250930846E+02     -0.3085697513230578E+02
      0.4345864661654128E+01     -0.4780996476470138E+02     -0.4135537284820567E+02     -0.3100560226729777E+02
      0.4365914786967410E+01     -0.4782794863436520E+02     -0.4142493972334321E+02     -0.3115259994095599E+02
      0.4385964912280693E+01     -0.4784571282824776E+02     -0.4149368589913610E+02     -0.3129798966723971E+02
      0.4406015037593976E+01     -0.4786326089062099E+02     -0.4156162390532410E+02     -0.3144179267334742E+02
      0.4426065162907259E+01     -0.4788059629505280E+02     -0.4162876604182620E+02     -0.3158402990163611E+02
      0.4446115288220541E+01     -0.4789772244603878E+02     -0.4169512438356998E+02     -0.3172472201167618E+02
      0.4466165413533824E+01     -0.4791464268066877E+02     -0.4176071078514011E+02     -0.3186388938242899E+02
      0.4486215538847107E+01     -0.4793136027016438E+02     -0.4182553688534621E+02     -0.3200155211448619E+02
      0.4506265664160390E+01     -0.4794787842147328E+02     -0.4188961411171195E+02     -0.3213773003250700E+02
      0.4526315789473673E+01     -0.4796420027871722E+02     -0.4195295368482265E+02     -0.3227244268765275E+02
      0.4546365914786955E+01     -0.4798032892468802E+02     -0.4201556662262197E+02     -0.3240570936017934E+02
      0.4566416040100238E+01     -0.4799626738225229E+02     -0.4207746374456706E+02     -0.3253754906205290E+02
      0.4586466165413521E+01     -0.4801201861573877E+02     -0.4213865567572502E+02     -0.3266798053965111E+02
      0.4606516290726804E+01     -0.4802758553227116E+02     -0.4219915285076949E+02     -0.3279702227652062E+02
      0.4626566416040086E+01     -0.4804297098311120E+02     -0.4225896551788109E+02     -0.3292469249619861E+02
      0.4646616541353369E+01     -0.4805817776490110E+02     -0.4231810374255063E+02     -0.3305100916504249E+02
      0.4666666666666652E+01     -0.4807320862089384E+02     -0.4237657741134188E+02     -0.3317598999512371E+02
