                           x                ground state                 1st excited                 2nd excited
      0.4761904761904759E+01      0.4317319951083195E-01      0.2283134690391686E-01      0.9584440629371145E-02
      0.4862155388471177E+01      0.4290692370414568E-01      0.2360911941728729E-01      0.8679374286339242E-02
      0.4962406015037594E+01      0.4263622102857213E-01      0.2438813528555803E-01      0.7810087884446178E-02
      0.5062656641604008E+01      0.4236115794324064E-01      0.2516762954341186E-01      0.6978501844563889E-02
      0.5162907268170425E+01      0.4208180197778926E-01      0.2594683675577003E-01      0.6186453300213242E-02
      0.5263157894736842E+01      0.4179822171578289E-01      0.2672499176942235E-01      0.5435692038982063E-02
      0.5363408521303256E+01      0.4151048677787667E-01      0.2750133046437910E-01      0.4727876636907939E-02
      0.5463659147869674E+01      0.4121866780472350E-01      0.2827509050420924E-01      0.4064570794365038E-02
      0.5563909774436087E+01      0.4092283643963106E-01      0.2904551208462778E-01      0.3447239881548809E-02
      0.5664160401002505E+01      0.4062306531097432E-01      0.2981183867959676E-01      0.2877247701191365E-02
      0.5764411027568922E+01      0.4031942801436317E-01      0.3057331778420417E-01      0.2355853475659037E-02
      0.5864661654135336E+01      0.4001199909457440E-01      0.3132920165359759E-01      0.1884209065088326E-02
      0.5964912280701753E+01      0.3970085402725200E-01      0.3207874803724287E-01      0.1463356422704544E-02
      0.6065162907268167E+01      0.3938606920037629E-01      0.3282122090778761E-01      0.1094225292947033E-02
      0.6165413533834585E+01      0.3906772189551017E-01      0.3355589118381162E-01      0.7776311574853116E-03
      0.6265664160401002E+01      0.3874589026882657E-01      0.3428203744575982E-01      0.5142734336625995E-03
      0.6365914786967416E+01      0.3842065333191982E-01      0.3499894664434972E-01      0.3047339293485284E-03
      0.6466165413533833E+01      0.3809209093240846E-01      0.3570591480075980E-01      0.1494755576139111E-03
      0.6566416040100250E+01      0.3776028373433227E-01      0.3640224769791169E-01      0.4884131406637514E-04
      0.6666666666666664E+01      0.3742531319834772E-01      0.3708726156216553E-01      0.3053519107286589E-05
      0.6766917293233082E+01      0.3708726156173125E-01      0.3776028373476118E-01      0.1221332678316964E-04
      0.6867167919799499E+01      0.3674621181818603E-01      0.3842065333234398E-01      0.7630050131696114E-04
      0.6967418546365913E+01      0.3640224769747027E-01      0.3906772189592913E-01      0.1951734618127345E-03
      0.7067669172932330E+01      0.3605545364483790E-01      0.3970085402766498E-01      0.3685695950351443E-03
      0.7167919799498744E+01      0.3570591480030985E-01      0.4031942801477079E-01      0.5961058355725902E-03
      0.7268170426065161E+01      0.3535371697776876E-01      0.4092283644003419E-01      0.8772795121023319E-03
      0.7368421052631579E+01      0.3499894664389092E-01      0.4151048677827490E-01      0.1211469457888203E-02
      0.7468671679197993E+01      0.3464169089692259E-01      0.4208180197818337E-01      0.1597937383057253E-02
      0.7568922305764410E+01      0.3428203744529185E-01      0.4263622102896156E-01      0.2035829505624356E-02
      0.7669172932330824E+01      0.3392007458607842E-01      0.4317319951121868E-01      0.2524178437660758E-02
      0.7769423558897241E+01      0.3355589118333448E-01      0.4369221013156698E-01      0.3061905322439832E-02
      0.7869674185463658E+01      0.3318957664627085E-01      0.4419274324040942E-01      0.3647822217839383E-02
