                           x                ground state                 1st excited                 2nd excited
     -0.6766917293233083E+01      0.1031729276724064E-19      0.8965243899096127E-18      0.3817146215855046E-16
     -0.6666666666666668E+01      0.3880799087237820E-19      0.3278209297685782E-17      0.1355955525937095E-15
     -0.6566416040100250E+01      0.1432138225560757E-18      0.1175478097619981E-16      0.4721030469452729E-15
     -0.6466165413533835E+01      0.5184949576682471E-18      0.4133110763253009E-16      0.1610969267737965E-14
     -0.6365914786967419E+01      0.1841567093633201E-17      0.1424968882893599E-15      0.5387294126622048E-14
     -0.6265664160401004E+01      0.6416551504796894E-17      0.4817043650855205E-15      0.1765470409275907E-13
     -0.6165413533834588E+01      0.2193182706396060E-16      0.1596553572107101E-14      0.5669297959857605E-13
     -0.6065162907268171E+01      0.7353514122048130E-16      0.5187937918961237E-14      0.1783813036737041E-12
     -0.5964912280701755E+01      0.2418522777601829E-15      0.1652703063810106E-13      0.5499105307879286E-12
     -0.5864661654135340E+01      0.7802411549433847E-15      0.5161356571181665E-13      0.1660841119988138E-11
     -0.5764411027568922E+01      0.2468990291146137E-14      0.1580089827963106E-12      0.4913912067251938E-11
     -0.5664160401002507E+01      0.7663203350830760E-14      0.4741635787247760E-12      0.1424160465139381E-10
     -0.5563909774436091E+01      0.2332869758041366E-13      0.1394705135269188E-11      0.4042879372075730E-10
     -0.5463659147869675E+01      0.6965442311796826E-13      0.4020900582231671E-11      0.1124061249921242E-09
     -0.5363408521303260E+01      0.2039736246202425E-12      0.1136133950972799E-10      0.3060711504686214E-09
     -0.5263157894736842E+01      0.5858084546385198E-12      0.3146147758056769E-10      0.8161175157466009E-09
     -0.5162907268170427E+01      0.1649996131504592E-11      0.8537873131881776E-10      0.2130807389652681E-08
     -0.5062656641604011E+01      0.4557696557955273E-11      0.2270483702421241E-09      0.5447016816226261E-08
     -0.4962406015037594E+01      0.1234618456108979E-10      0.5916457078074667E-09      0.1363190285463646E-07
     -0.4862155388471178E+01      0.3279705509127663E-10      0.1510621204630754E-08      0.3339611431093375E-07
     -0.4761904761904763E+01      0.8543615187177780E-10      0.3778984881819093E-08      0.8008175496974644E-07
     -0.4661654135338347E+01      0.2182445672770756E-09      0.9261788708806488E-08      0.1879419650200431E-06
     -0.4561403508771932E+01      0.5466766144371232E-09      0.2223761897206765E-07      0.4316368038248988E-06
     -0.4461152882205514E+01      0.1342744476915556E-08      0.5230317133768520E-07      0.9699895743712392E-06
     -0.4360902255639099E+01      0.3233871690188400E-08      0.1204996159362789E-06      0.2132632544786658E-05
     -0.4260651629072683E+01      0.7636768221648455E-08      0.2719140391563077E-06      0.4586787551381841E-05
     -0.4160401002506266E+01      0.1768255077284531E-07      0.6009454837761991E-06      0.9649049328163936E-05
     -0.4060150375939850E+01      0.4014393492661432E-07      0.1300659823051945E-05      0.1985086465979614E-04
     -0.3959899749373434E+01      0.8935649278930162E-07      0.2756663344753454E-05      0.3993232144513696E-04
     -0.3859649122807017E+01      0.1950091762122182E-06      0.5720835898224489E-05      0.7853190572467459E-04
     -0.3759398496240603E+01      0.4172521042914272E-06      0.1162394211738254E-04      0.1509609939111522E-03
     -0.3659147869674186E+01      0.8752831379363126E-06      0.2312202280202871E-04      0.2835924123998264E-03
     -0.3558897243107772E+01      0.1800102768841351E-05      0.4502300173040143E-04      0.5205263538582131E-03
     -0.3458646616541355E+01      0.3629419040698272E-05      0.8580929777184865E-04      0.9332712517653147E-03
     -0.3358395989974937E+01      0.7173986557944212E-05      0.1600580339206661E-03      0.1634103344103643E-02
     -0.3258145363408524E+01      0.1390145910247893E-04      0.2921543056954846E-03      0.2793420137361288E-02
     -0.3157894736842106E+01      0.2640763707626909E-04      0.5217750264930755E-03      0.4660626832843815E-02
     -0.3057644110275689E+01      0.4917690259339443E-04      0.9116549277850632E-03      0.7586745951743470E-02
     -0.2957393483709275E+01      0.8977359431552115E-04      0.1558076502313872E-02      0.1204494666594125E-01
     -0.2857142857142858E+01      0.1606517319592811E-03      0.2604277326688724E-02      0.1864264762830242E-01
     -0.2756892230576440E+01      0.2818157815355872E-03      0.4256456439092796E-02      0.2811613063826309E-01
     -0.2656641604010026E+01      0.4845987093369810E-03      0.6801211697663779E-02      0.4129645836561219E-01
     -0.2556390977443609E+01      0.8168275788069687E-03      0.1062202227161623E-01      0.5903504907127887E-01
     -0.2456140350877195E+01      0.1349596936569730E-02      0.1621086552428774E-01      0.8207990965456487E-01
     -0.2355889724310778E+01      0.2185736925568299E-02      0.2416942756125187E-01      0.1109005673540279E+00
     -0.2255639097744361E+01      0.3469817069742726E-02      0.3519301224290440E-01      0.1454718403781476E+00
     -0.2155388471177947E+01      0.5399146763118359E-02      0.5002973453409130E-01      0.1850431091482768E+00
     -0.2055137844611529E+01      0.8234718161133917E-02      0.6940857802858172E-01      0.2279381354863813E+00
     -0.1954887218045116E+01      0.1231041801683203E-01      0.9393305362716266E-01      0.2714460173842028E+00
     -0.1854636591478698E+01      0.1803818875578953E-01      0.1239429140596248E+00      0.3118701692425712E+00
     -0.1754385964912281E+01      0.2590627351809366E-01      0.1593545279690471E+00      0.3447926002282957E+00
     -0.1654135338345867E+01      0.3646740819083328E-01      0.1995001924014388E+00      0.3655805197393032E+00
     -0.1553884711779450E+01      0.5031402226116095E-01      0.2429960616983025E+00      0.3701113636340710E+00
     -0.1453634085213032E+01      0.6803835977757514E-01      0.2876749131778158E+00      0.3556274743765606E+00
     -0.1353383458646618E+01      0.9017704073053738E-01      0.3306207289786289E+00      0.3215670845275380E+00
     -0.1253132832080201E+01      0.1171419297980717E+00      0.3683345176725960E+00      0.2701736510477331E+00
     -0.1152882205513784E+01      0.1491420621180125E+00      0.3970437174584259E+00      0.2066814114994820E+00
     -0.1052631578947370E+01      0.1861043947902550E+00      0.4131418872581548E+00      0.1389256349025986E+00
     -0.9523809523809526E+00      0.2276037387326366E+00      0.4137148417705517E+00      0.7633269719075063E-01
     -0.8521303258145387E+00      0.2728137234613142E+00      0.3970800307598757E+00      0.2839154434163022E-01
     -0.7518796992481214E+00      0.3204904511765697E+00      0.3632453489470415E+00      0.2861009731817694E-02
     -0.6516290726817040E+00      0.3689982093363448E+00      0.3141888989822229E+00      0.4083291395129417E-02
     -0.5513784461152902E+00      0.4163821939768946E+00      0.2538772422737816E+00      0.3181106397768090E-01
     -0.4511278195488728E+00      0.4604870610235361E+00      0.1879767043402326E+00      0.8088877862031103E-01
     -0.3508771929824590E+00      0.4991131284181470E+00      0.1232653247123160E+00      0.1419599637815621E+00
     -0.2506265664160416E+00      0.5301953862217952E+00      0.6681208275709385E-01      0.2031357191540064E+00
     -0.1503759398496243E+00      0.5519854317733831E+00      0.2504213329434405E-01      0.2523143730085953E+00
     -0.5012531328321046E-01      0.5632141573186585E+00      0.2839133612257913E-02      0.2796571814333864E+00
      0.5012531328320691E-01      0.5632141573186711E+00      0.2839133612240140E-02      0.2796571814333771E+00
      0.1503759398496243E+00      0.5519854317734336E+00      0.2504213329429263E-01      0.2523143730085790E+00
      0.2506265664160381E+00      0.5301953862218844E+00      0.6681208275701613E-01      0.2031357191539819E+00
      0.3508771929824555E+00      0.4991131284182757E+00      0.1232653247122213E+00      0.1419599637815323E+00
      0.4511278195488728E+00      0.4604870610237023E+00      0.1879767043401299E+00      0.8088877862028179E-01
      0.5513784461152866E+00      0.4163821939770879E+00      0.2538772422736694E+00      0.3181106397765731E-01
      0.6516290726817040E+00      0.3689982093365434E+00      0.3141888989821100E+00      0.4083291395119155E-02
      0.7518796992481178E+00      0.3204904511767515E+00      0.3632453489469262E+00      0.2861009731826730E-02
      0.8521303258145352E+00      0.2728137234614756E+00      0.3970800307597492E+00      0.2839154434166023E-01
      0.9523809523809526E+00      0.2276037387327776E+00      0.4137148417704240E+00      0.7633269719080278E-01
      0.1052631578947366E+01      0.1861043947903760E+00      0.4131418872580270E+00      0.1389256349026683E+00
